ID_Orden,Fecha,ID_Cliente,ID_Producto,Nombre_Producto,Categoria,Cantidad,Ingreso_Total,COGS_Total,Costo_Envio,Ganancia_Bruta,Ciudad_Destino,Fuente_Adquisicion,Estado_Envio,Mes,Nombre_Mes,Dia_Semana,Semana_Anio
ORD-1000,2026-04-13 03:48:00,CLI-5199,P002,Mini Bicicleta Premium,Fitness,1,120,45,10.58,64.42,Bucaramanga,Campaña_Bici_Carrusel,Entregado,4,April,Monday,16
ORD-1001,2025-11-27 23:05:00,CLI-5029,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.97,18.03,Bogotá,Orgánico_Instagram,Entregado,11,November,Thursday,48
ORD-1002,2025-11-09 01:01:00,CLI-5001,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.03,19.97,Bucaramanga,Orgánico_Instagram,Entregado,11,November,Sunday,45
ORD-1003,2026-03-24 06:47:00,CLI-5041,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.9,18.1,Bogotá,Campaña_Vaso_Vertical,Entregado,3,March,Tuesday,13
ORD-1004,2026-02-23 20:06:00,CLI-5620,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.58,19.42,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Monday,9
ORD-1005,2025-12-11 23:49:00,CLI-6120,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.02,18.98,Bogotá,Campaña_Vaso_Vertical,Entregado,12,December,Thursday,50
ORD-1006,2026-01-26 03:29:00,CLI-5610,P003,Soporte Magnético Carga,Auto,2,48,16,3.58,28.42,Bogotá,Campaña_Vaso_Vertical,Entregado,1,January,Monday,5
ORD-1007,2026-04-04 09:01:00,CLI-6201,P003,Soporte Magnético Carga,Auto,1,24,8,5.72,10.28,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Saturday,14
ORD-1008,2026-02-05 02:41:00,CLI-5018,P003,Soporte Magnético Carga,Auto,1,24,8,4.96,11.04,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Thursday,6
ORD-1009,2026-02-01 19:42:00,CLI-5748,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.33,19.67,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Sunday,5
ORD-1010,2026-01-14 02:43:00,CLI-6856,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,7.37,14.63,Cali,Directo,Entregado,1,January,Wednesday,3
ORD-1011,2026-02-25 21:41:00,CLI-6644,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.25,17.75,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Wednesday,9
ORD-1012,2026-04-21 09:06:00,CLI-5216,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.86,18.14,Bogotá,Orgánico_Instagram,En tránsito,4,April,Tuesday,17
ORD-1013,2026-04-12 05:50:00,CLI-5468,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,5.35,42.65,Bogotá,Orgánico_Instagram,Entregado,4,April,Sunday,15
ORD-1014,2026-01-09 21:50:00,CLI-6077,P003,Soporte Magnético Carga,Auto,1,24,8,5.36,10.64,Bogotá,Campaña_Vaso_Vertical,Entregado,1,January,Friday,2
ORD-1015,2025-11-15 07:49:00,CLI-5939,P002,Mini Bicicleta Premium,Fitness,1,120,45,12.97,62.03,Cali,Campaña_Vaso_Vertical,Entregado,11,November,Saturday,46
ORD-1016,2025-11-17 07:12:00,CLI-6404,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.49,17.51,Medellín,Campaña_Vaso_Vertical,Entregado,11,November,Monday,47
ORD-1017,2025-12-25 22:22:00,CLI-5144,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,6.3,15.7,Cali,Campaña_Bici_Carrusel,Entregado,12,December,Thursday,52
ORD-1018,2025-12-07 09:02:00,CLI-5017,P003,Soporte Magnético Carga,Auto,1,24,8,3.72,12.28,Cali,Orgánico_Instagram,Entregado,12,December,Sunday,49
ORD-1019,2026-03-30 14:37:00,CLI-5376,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.44,17.56,Medellín,Campaña_Vaso_Vertical,Entregado,3,March,Monday,14
ORD-1020,2025-12-06 17:23:00,CLI-5001,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,5.23,42.77,Medellín,Campaña_Vaso_Vertical,Entregado,12,December,Saturday,49
ORD-1021,2025-12-10 21:25:00,CLI-5080,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.23,19.77,Medellín,Orgánico_Instagram,Entregado,12,December,Wednesday,50
ORD-1022,2026-02-07 13:01:00,CLI-5112,P003,Soporte Magnético Carga,Auto,1,24,8,5.09,10.91,Bogotá,Directo,Entregado,2,February,Saturday,6
ORD-1023,2026-03-22 00:23:00,CLI-6437,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,6.84,15.16,Barranquilla,Campaña_Vaso_Vertical,Entregado,3,March,Sunday,12
ORD-1024,2026-01-08 21:52:00,CLI-6197,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.77,19.23,Barranquilla,Campaña_Vaso_Vertical,Entregado,1,January,Thursday,2
ORD-1025,2025-11-01 08:59:00,CLI-5268,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.67,17.33,Barranquilla,Orgánico_Instagram,Entregado,11,November,Saturday,44
ORD-1026,2025-11-28 21:20:00,CLI-5255,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,4.65,43.35,Bogotá,Campaña_Vaso_Vertical,Entregado,11,November,Friday,48
ORD-1027,2025-12-10 12:45:00,CLI-5142,P002,Mini Bicicleta Premium,Fitness,2,240,90,12.79,137.21,Medellín,Campaña_Bici_Carrusel,Entregado,12,December,Wednesday,50
