ID_Orden,Fecha,ID_Cliente,ID_Producto,Nombre_Producto,Categoria,Cantidad,Precio_Unitario,COGS_Unitario,Costo_Envio,Ciudad_Destino,Fuente_Adquisicion,Estado_Envio
ORD-1325,2025-11-20 14:14:17,CLI-5556,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.82,8.15,11.77,Bucaramanga,Campana_Vaso_Vertical,Entregado
ORD-3226,2026-02-27 21:53:12,CLI-6889,P001,Vaso Termico Inteligente Auto,Auto,1,41.06,14.33,4.55,Medellin,Campana_Vaso_Vertical,Entregado
ORD-3480,2026-03-12 11:51:45,CLI-5683,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.64,8.21,7.33,Medellin,Organico_Instagram,Entregado
ORD-2862,2026-02-06 18:24:03,CLI-5549,P001,Vaso Termico Inteligente Auto,Auto,1,36.49,14.93,7.93,Medellin,Organico_Instagram,Entregado
ORD-1299,2025-11-18 23:41:58,CLI-5369,P003,Soporte Magnetico Carga,Oficina/Auto,4,23.58,7.7,14.4,Medellin,Campana_Bici_Carrusel,Entregado
ORD-2637,2026-01-23 17:38:29,CLI-5135,P001,Vaso Termico Inteligente Auto,Auto,1,39.15,15.7,8.6,Cali,Directo,Entregado
ORD-3374,2026-03-06 18:48:01,CLI-6641,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.54,7.61,8.45,Bucaramanga,Campana_Vaso_Vertical,Entregado
ORD-4356,2026-04-24 05:41:50,CLI-6548,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.56,7.84,9.64,Barranquilla,Directo,Retrasado
ORD-1139,2025-11-07 04:52:05,CLI-5782,P001,Vaso Termico Inteligente Auto,Auto,1,35.99,15.89,4.46,Bogota,Organico_Instagram,Entregado
ORD-2456,2026-01-11 10:40:10,CLI-6814,P004,Cojin Ergonomico Gel,Oficina/Auto,1,36.06,11.69,11.06,Bucaramanga,Organico_Instagram,Entregado
ORD-1564,2025-12-02 23:14:27,CLI-5809,P002,Mini Bicicleta Premium,Fitness,1,118.33,46.68,,Bogota,Organico_Instagram,Entregado
ORD-3411,2026-03-08 07:41:48,CLI-5626,P004,Cojin Ergonomico Gel,Oficina/Auto,1,31.77,11.86,6.94,Bogota,Campana_Vaso_Vertical,Entregado
ORD-4017,2026-04-07 14:15:20,CLI-5791,P002,Mini Bicicleta Premium,Fitness,1,123.13,46.2,7.51,Bogota,Campana_Bici_Carrusel,Entregado
ORD-3534,2026-03-14 14:23:28,CLI-5229,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.96,7.7,4.03,Medellin,Directo,Entregado
ORD-2769,2026-02-01 06:10:28,CLI-6532,P001,Vaso Termico Inteligente Auto,Auto,1,38.56,14.45,5.32,Bogota,Directo,Entregado
ORD-3810,2026-03-27 13:01:05,CLI-6015,P002,Mini Bicicleta Premium,Fitness,1,124.86,46.75,8.18,Bogota,Organico_Instagram,Entregado
ORD-2488,2026-01-13 22:09:51,CLI-5152,P002,Mini Bicicleta Premium,Fitness,1,114.35,46.95,6.9,Bogota,Organico_Instagram,Entregado
ORD-2025,2025-12-20 20:43:30,CLI-6490,P001,Vaso Termico Inteligente Auto,Auto,1,38.13,15.77,4.9,Medellin,Organico_Instagram,Retrasado
ORD-1755,2025-12-10 04:52:03,CLI-6140,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.95,7.87,6.9,Bogota,Campana_Bici_Carrusel,Entregado
ORD-1897,2025-12-15 19:56:59,CLI-6210,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.38,7.7,8.45,Barranquilla,Organico_Instagram,Entregado
ORD-3289,2026-03-02 13:52:48,CLI-5268,P002,Mini Bicicleta Premium,Fitness,1,128.77,43.17,8.76,Barranquilla,Organico_Instagram,En transito
ORD-4098,2026-04-11 18:25:45,CLI-6449,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.18,8.41,8.85,Cali,Organico_Instagram,Devuelto
ORD-2237,2025-12-28 10:28:11,CLI-5061,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.79,7.91,8.1,Bogota,Organico_Instagram,Entregado
ORD-3461,2026-03-11 21:10:49,CLI-6823,P002,Mini Bicicleta Premium,Fitness,1,119.77,47.32,8.53,Barranquilla,Organico_Instagram,Entregado
ORD-2957,2026-02-11 11:37:03,CLI-5520,P002,Mini Bicicleta Premium,Fitness,2,114.73,46.13,8.37,Bogota,Organico_Instagram,Devuelto
ORD-1495,2025-11-28 10:43:51,CLI-5378,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.95,8.14,6.27,Cali,Directo,Entregado
ORD-1679,2025-12-07 11:56:45,CLI-6857,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.7,8.0,4.33,Medellin,Directo,Entregado
ORD-2135,2025-12-23 23:40:00,CLI-6023,P001,Vaso Termico Inteligente Auto,Auto,1,41.33,14.3,4.17,Bogota,Directo,En transito
ORD-3418,2026-03-08 06:31:14,CLI-5930,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.75,7.74,11.9,Barranquilla,Organico_Instagram,Entregado
ORD-4412,2026-04-27 20:36:28,CLI-5569,P004,Cojin Ergonomico Gel,Oficina/Auto,1,35.23,12.08,4.92,Bogota,Organico_Instagram,Entregado
ORD-1358,2025-11-21 03:09:35,CLI-6215,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.76,8.38,11.09,Bucaramanga,Organico_Instagram,Entregado
ORD-1070,2025-11-04 07:04:33,CLI-5789,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.62,7.67,11.11,Barranquilla,Campana_Bici_Carrusel,Entregado
ORD-2105,2025-12-23 07:17:35,CLI-5801,P002,Mini Bicicleta Premium,Fitness,1,115.22,47.94,6.1,Medellin,Directo,Entregado
ORD-1594,2025-12-03 00:52:56,CLI-6413,P001,Vaso Termico Inteligente Auto,Auto,1,36.97,14.9,4.75,Bogota,Organico_Instagram,Entregado
ORD-2222,2025-12-27 02:14:36,CLI-5907,P004,Cojin Ergonomico Gel,Oficina/Auto,2,34.7,11.44,7.46,Medellin,Organico_Instagram,Retrasado
ORD-1818,2025-12-12 06:34:03,CLI-5569,P001,Vaso Termico Inteligente Auto,Auto,1,39.16,15.14,7.32,Cali,Campana_Vaso_Vertical,En transito
ORD-3066,2026-02-17 12:27:37,CLI-5551,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.2,7.82,7.2,Medellin,Directo,Retrasado
ORD-1544,2025-12-01 00:23:07,CLI-5479,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.74,8.07,7.14,Medellin,Campana_Bici_Carrusel,Entregado
ORD-1432,2025-11-25 11:40:33,CLI-5674,P004,Cojin Ergonomico Gel,Oficina/Auto,1,31.94,11.85,7.25,Cali,Directo,Entregado
